SurveyID,Country,Ecoregion,SiteCode,SiteLat,SiteLong,geom,SurveyDate,Depth,Apogon imberbis,Atherina hepsetus,Boops boops,Centrolabrus exoletus,Chelon labrosus,Chromis chromis,Chrysophrys auratus,Coris julis,Ctenolabrus rupestris,Dentex dentex,Diplodus annularis,Diplodus cervinus,Diplodus puntazzo,Diplodus sargus,Diplodus vulgaris,Epinephelus costae,Epinephelus marginatus,Gobius bucchichi,Gobius xanthocephalus,Labrus merula,Labrus viridis,Mullus surmuletus,Muraena helena,Oblada melanura,Octopus vulgaris,Pagrus pagrus,Parablennius pilicornis,Parablennius rouxi,Pomadasys incisus,Sarpa salpa,Sciaena umbra,Seriola dumerili,Serranus cabrilla,Serranus scriba,Spicara maena,Spicara smaris,Spondyliosoma cantharus,Symphodus cinereus,Symphodus doderleini,Symphodus mediterraneus,Symphodus melanocercus,Symphodus ocellatus,Symphodus roissali,Symphodus rostratus,Symphodus tinca,Thalassoma pavo,Tripterygion delaisi
912354158,Morocco,Alboran Sea,MEL10,35.32,-2.95,POINT (-2.95 35.32),2020-07-31T14:00:00Z,8.3,0,0,0,0,0,501,0,58,0,0,0,0,0,0,13,0,1,2,0,0,0,9,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,25,5,0,2,13,0
912354159,Morocco,Alboran Sea,MEL10,35.32,-2.95,POINT (-2.95 35.32),2020-07-31T14:00:00Z,8.5,1,0,0,0,0,111,0,78,0,0,2,0,0,5,23,0,0,0,0,0,0,4,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,1,0,7,2,0,12,16,0
912354160,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-02T14:00:00Z,10.4,0,0,30,0,0,302,0,207,0,0,1,0,0,1,54,0,0,0,0,0,0,13,0,0,0,0,0,0,1,6,0,0,7,14,0,0,0,0,2,0,0,15,0,0,5,138,0
912354161,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-02T14:00:00Z,10.6,0,0,780,0,0,1359,0,379,0,0,2,0,1,7,74,0,2,0,0,0,0,1,0,10,0,0,0,0,35,3,0,0,5,10,0,0,0,0,1,1,0,78,0,0,13,125,0
912354162,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-07-31T14:00:00Z,10.6,0,0,20,0,0,245,0,45,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,3,10,0
912354163,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-03T14:00:00Z,11.6,0,0,0,0,0,30,0,377,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,40,17,0,0,0,0,8,0,0,10,0,0,0,23,0
912354164,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-03T14:00:00Z,12.4,13,0,0,0,0,610,0,143,0,0,0,0,0,0,37,0,1,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,16,9,0,0,0,2,1,0,0,15,0,0,1,17,0
912354171,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-02T14:00:00Z,7.8,0,0,175,0,0,93,0,100,0,0,1,0,0,2,46,0,0,0,0,0,0,30,0,1,0,0,0,0,0,30,0,0,0,4,0,0,0,0,1,0,0,87,1,0,9,5,0
912354172,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-07-31T14:00:00Z,8.7,0,0,90,0,0,85,0,139,0,0,1,0,0,0,28,0,0,0,0,0,0,30,0,8,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,42,0,0,3,24,0
912354173,Morocco,Alboran Sea,MEL12,35.32,-2.95,POINT (-2.95 35.32),2020-08-02T14:00:00Z,8.7,0,0,573,0,0,105,0,129,0,0,2,0,1,0,26,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0,0,45,1,0,2,7,0
